,_id,sno,sna,tot,sbi,sarea,mday,lat,lng,ar,sareaen,snaen,aren,bemp,act
190,191,2299,水汴頭音樂廣場,16,7,桃園區,20240715205123,25.023323,121.305316,鹽庫西街70號對面空地,Taoyuan Dist.,Shuibiantou Music Square,"No.70, Yanku W. St.(opposite)",9,1
191,192,2300,桃智路廣豐三街口,8,5,桃園區,20240715205118,24.964802,121.295471,桃智路31號前外側人行道及路側,Taoyuan Dist.,Taozhi Rd. &amp; Guangfeng 3rd St. Intersection,"No.31, Taozhi Rd.",3,1
192,193,2302,普忠榮民南路口,18,3,中壢區,20240715205144,24.949502,121.256339,普忠路1168號前人行道,Zhongli Dist.,Puzhong &amp; Rongmin S. Rd. Intersection,Puzhong Rd./Rongmin S. Rd.,15,1
193,194,2303,龍岡停車場,8,5,中壢區,20240715205138,24.930088,121.253064,龍東路202號機車停車場,Zhongli Dist.,Longgang Parking Lot,"No.202, Longdong Rd.",3,1
194,195,2304,平鎮市廿公園,8,4,平鎮區,20240715205129,24.942799,121.218962,德育路二段104號對向人行道上,Pingzhen Dist.,Pingzhen No.20 Park,"No.104, Sec. 2, Deyu Rd.(opposite)",4,1
195,196,2305,復興三民路口,16,8,桃園區,20240715205121,24.989258,121.306696,復興路308號旁停車場,Taoyuan Dist.,Fuxing Rd. &amp; Sanmin Rd. Intersection,"No.308, Fusing Rd.",8,1
196,197,2306,中正光明路口,18,5,龍潭區,20240715205130,24.860621,121.218056,中正路339號對側高架橋下,Longtan Dist.,Zhongzheng Rd. &amp; Guangming Rd. Intersection,"No.339, Jhongjheng Rd.(opposite)",13,1
197,198,2308,中山路裕和街口,14,7,桃園區,20240715205120,24.980741,121.274497,中山路1306號旁人行道,Taoyuan Dist.,Zhongshan Rd. &amp; Yuhe St. Intersection,"No.1306, Zhongshan Rd.",6,1
198,199,2309,莒光公園(環中東路),8,5,中壢區,20240715205136,24.948936,121.235966,環中東路二段288號前人行道,Zhongli Dist.,Juguang Park (Huanzhong E. Rd.),"No.288, Sec. 2, Huanjhong E. Rd.",3,1
199,200,2310,環中東實踐路口,10,2,中壢區,20240715205138,24.953682,121.243344,環中東路776號前人行道,Zhongli Dist.,Huanzhong E. &amp; Shijian Rd. Intersection,"No.776, Huanjhong E. Rd.",8,1
200,201,2313,觀音中興停車場,20,12,觀音區,20240715205126,25.038199,121.080987,中興路與玉林路口,Guanyin Dist.,Guanyin Zhongxing Parking Lot,Zhongxing Rd./Yulin Rd.,4,1
201,202,2314,觀音國小,22,2,觀音區,20240715205134,25.03451,121.083586,文化路61號對面人行道,Guanyin Dist.,Guan-Yin Elementary School,"No.61, Wenhua Rd.(opposite)",20,1
202,203,2315,中路兒2公園,6,0,桃園區,20240715205135,25.007402,121.290432,永安路765巷8號對面公園,Taoyuan Dist.,Zhonglu Second Children's Park,"No.8, Ln. 765, Yong&rsquo;an Rd.(opposite)",6,1
203,204,2316,平鎮國民運動中心,20,5,平鎮區,20240715205128,24.913957,121.209701,興安路20號對面空地,Pingzhen Dist.,Pingzhen Civil Sports Center,"No.20, Xing&rsquo;an Rd.(opposite)",12,1
204,205,2317,新明國中,10,0,中壢區,20240715205123,24.956212,121.21231,民族路109號對面人行道,Zhongli Dist.,Hsin Ming Junior High School,"No.109, Minzu Rd.(opposite)",9,1
205,206,2318,中華路一段文化二路口,12,1,中壢區,20240715205127,24.970929,121.253549,中華路一段480號前方人行道,Zhongli Dist.,"Sec. 1, Zhonghua Rd. &amp; Wenhua 2nd Rd. Intersection","No.480, Sec. 1, Zhonghua Rd.(opposite)",11,1
206,207,2319,春日路民富九街口,8,3,桃園區,20240715205135,25.007974,121.311688,春日路618號前方人行道,Taoyuan Dist.,Chunri Rd. &amp; Minfu 9th St. Intersection,"No.168, Chunri Rd.",5,1
207,208,2321,過嶺廣場,8,3,中壢區,20240715205140,24.96035,121.164511,松勤路13號對面公園,Zhongli Dist.,Guoling Square,"No.13, Songqin Rd(opposite)",3,1
208,209,2322,藝文一街大興西路口,12,10,桃園區,20240715205142,25.013286,121.301557,藝文一街6號對面廣場,Taoyuan Dist.,Yiwen 1st St. &amp; Daxing W. Rd. Intersection,"No.6, Yiwen 1st St.(opposite)",1,1
209,210,2323,中正莊敬路口,8,4,桃園區,20240715205131,25.023593,121.294916,中正路1379號前方人行道,Taoyuan Dist.,Jhongjheng Rd. &amp; Zhuangjing Rd. Intersection,"No.1379, Jhongjheng Rd.",4,1
210,211,2325,光榮光峰路口,10,3,龜山區,20240715205139,25.006866,121.343263,光峰路299號旁公園,Guishan Dist.,Guangrong Rd.&amp; Guangfeng Rd.Intersection,"No.299, Guangfeng Rd.",4,1
